station,day,max_temp_f,min_temp_f,precip_in,avg_wind_speed_kts,avg_wind_drct,min_rh,avg_rh,max_rh,max_wind_speed_kts
PHX,2000-01-01,60.0,47.0,0.0,4.626741,234.89429,36.8669,46.654724,60.619,12.0
PHX,2000-01-02,57.0,43.0,0.01,5.2952647,260.08963,36.5424,63.222374,85.9038,12.0
PHX,2000-01-03,59.0,32.0,0.0,2.2144847,49.866203,19.7,50.068542,92.4623,9.0
PHX,2000-01-04,65.0,40.0,0.0,3.8551533,40.959835,13.402,21.588625,35.0496,11.0
PHX,2000-01-05,64.0,38.0,0.0,2.7883008,307.04135,17.3678,34.39677,57.0388,7.0
PHX,2000-01-06,64.0,37.0,0.0,3.426184,11.252657,14.3728,29.515388,57.0388,9.0
PHX,2000-01-07,65.0,38.0,0.0,2.8412256,75.52956,17.9275,27.253597,43.8143,11.0
PHX,2000-01-08,63.0,38.0,0.0,2.465181,130.19112,20.431,35.374157,57.059,6.0
PHX,2000-01-09,63.0,36.0,0.0,3.200557,104.47746,18.778,36.666256,56.4781,6.0
PHX,2000-01-10,68.0,39.0,0.0,2.8245125,113.62837,15.1274,32.385307,50.4561,6.0
PHX,2000-01-11,71.0,42.0,0.0,2.4233983,103.704124,16.1218,30.709248,45.0072,6.0
PHX,2000-01-12,73.0,44.0,0.0,3.1197772,104.095505,16.1218,29.7907,48.8734,7.0
PHX,2000-01-13,77.0,44.0,0.0,2.54039,282.874,19.1473,34.94173,50.7262,6.0
PHX,2000-01-14,81.0,49.0,0.0,2.9164345,93.787766,15.1597,27.105015,44.1368,8.0
PHX,2000-01-15,81.0,48.0,0.0,3.0,114.002914,16.1015,26.5823,37.4583,10.0
PHX,2000-01-16,77.0,49.0,0.0,3.6629527,126.66528,15.0021,26.068686,40.5517,7.0
PHX,2000-01-17,78.0,53.0,0.0,3.0779943,93.9506,16.1687,25.642862,36.6346,8.0
PHX,2000-01-18,79.0,57.0,0.0,2.6239555,97.98693,19.57,30.866137,49.2456,7.0
PHX,2000-01-19,79.0,53.0,0.0,3.1977715,123.206375,19.4456,35.28678,50.4163,6.0
PHX,2000-01-20,77.0,53.0,0.0,2.8300836,99.65973,24.4392,37.04376,50.4163,7.0
PHX,2000-01-21,73.0,55.0,0.0,3.8718662,104.15706,35.1853,44.951435,55.522,7.0
PHX,2000-01-22,70.0,53.0,0.0,2.665738,88.154686,31.9178,49.178677,61.6737,6.0
PHX,2000-01-23,72.0,45.0,0.0,2.3704736,107.70293,22.5486,39.67004,63.3879,8.0
PHX,2000-01-24,74.0,52.0,0.0,3.1225626,104.09203,19.4469,32.34422,44.4811,8.0
PHX,2000-01-25,78.0,53.0,0.0,3.7910864,88.43288,18.9022,26.662382,38.3353,7.0
PHX,2000-01-26,69.0,55.0,0.0,8.3850975,265.32666,23.0984,30.019503,43.3576,20.0
PHX,2000-01-27,67.0,47.0,0.0,3.7019498,220.01358,21.0064,37.95921,58.0651,9.0
PHX,2000-01-28,67.0,43.0,0.0,3.4150417,240.98715,15.8451,33.18368,55.2699,7.0
PHX,2000-01-29,67.0,41.0,0.0,2.2423398,161.9409,13.776,28.098038,45.154,6.0
PHX,2000-01-30,68.0,50.0,0.0,3.4679666,133.15865,15.2655,23.896082,32.8578,7.0
PHX,2000-01-31,67.0,51.0,0.0,3.6685238,96.66831,28.4515,37.027145,56.6182,7.0
PHX,2000-02-01,70.0,44.0,0.0,4.1364903,18.530008,14.0433,33.657917,70.6399,10.0
PHX,2000-02-02,73.0,45.0,0.0,3.5097494,110.04947,11.8076,22.825735,35.8003,9.0
PHX,2000-02-03,76.0,47.0,0.0,3.8774374,124.464226,9.67064,22.678417,33.6884,7.0
PHX,2000-02-04,75.0,46.0,0.0,2.7047353,115.50488,10.5119,23.201466,36.6967,7.0
PHX,2000-02-05,76.0,48.0,0.0,3.6211698,125.08188,12.9626,23.48937,37.0274,7.0
PHX,2000-02-06,76.0,47.0,0.0,3.4679666,78.925865,15.2087,27.401098,40.3483,7.0
PHX,2000-02-07,83.0,47.0,0.0,1.3676881,102.57606,10.4795,25.859888,42.0702,6.0
PHX,2000-02-08,81.0,53.0,0.0,2.9665737,200.71693,12.0451,20.524004,32.6051,8.0
PHX,2000-02-09,78.0,54.0,0.0,3.8718662,223.05739,19.7241,27.365051,41.3761,7.0
PHX,2000-02-10,75.0,54.0,0.0,3.6768801,27.761389,26.1253,35.52051,44.949,7.0
PHX,2000-02-11,69.0,50.0,0.0,2.3286908,157.95064,34.485,45.35473,58.6194,9.0
PHX,2000-02-12,71.0,51.0,0.0,7.799443,224.9787,29.806578,43.609657,54.2181,16.0
PHX,2000-02-13,67.0,50.0,0.0,2.5905292,201.62106,33.1863,48.650604,65.4756,9.0
PHX,2000-02-14,72.0,50.0,0.0,3.1197772,107.474304,35.1853,48.790356,61.9316,7.0
PHX,2000-02-15,77.0,50.0,0.0,2.9665737,87.86811,24.19895,46.997536,68.2778,7.0
PHX,2000-02-16,69.0,52.0,0.0,4.334262,114.46703,28.0067,40.3914,56.3359,8.0
PHX,2000-02-17,65.0,51.0,0.0,7.637883,249.94984,26.5298,38.65428,53.1504,15.0
PHX,2000-02-18,68.0,45.0,0.0,3.1977715,95.21108,19.611,35.42663,57.6302,8.0
PHX,2000-02-19,74.0,47.0,0.0,2.7576602,117.02891,13.5718,29.44372,44.3073,8.0
PHX,2000-02-20,83.0,54.0,0.0,6.2562675,178.83247,15.1372,31.67043,54.2225,12.0
PHX,2000-02-21,76.0,54.0,0.0001,9.135794,172.10887,28.2041,57.022102,79.7963,23.0
PHX,2000-02-22,66.0,52.0,0.0,3.0417826,233.6257,39.7914,60.97395,86.3033,6.0
PHX,2000-02-23,69.0,49.0,0.0,4.389972,109.72348,30.6371,47.847805,71.0698,9.0
PHX,2000-02-24,63.0,49.0,0.0,8.29805,254.62665,22.7678,37.774673,60.867,12.0
PHX,2000-02-25,63.0,45.0,0.0,4.3064065,247.92729,22.5154,35.53012,49.0159,11.0
PHX,2000-02-26,69.0,43.0,0.0,3.5069637,92.327736,17.2399,33.968754,55.2699,8.0
PHX,2000-02-27,80.0,45.0,0.0,4.6295266,132.75017,14.134687,24.96832,44.162,9.0
PHX,2000-02-28,67.0,57.0,0.0,8.685237,254.38338,17.3678,31.411224,52.6986,14.0
PHX,2000-02-29,71.0,48.0,0.0,3.2395544,110.060715,16.6258,29.298107,47.8567,7.0
PHX,2000-03-01,69.0,54.0,0.0001,6.1337047,230.52252,22.1029,32.029053,43.3576,14.0
PHX,2000-03-02,71.0,47.0,0.0,2.924791,138.8735,21.7396,37.53825,60.7407,8.0
PHX,2000-03-03,79.0,50.0,0.0,5.128134,150.88924,16.444,30.437315,52.0165,9.0
PHX,2000-03-04,73.0,52.0,0.01,5.849582,256.23233,25.5027,40.344006,66.7534,14.0
PHX,2000-03-05,59.0,50.0,0.97,7.174791,127.57035,41.6969,77.58665,92.9293,13.0
PHX,2000-03-06,52.0,44.0,1.53,5.142061,84.24008,85.9038,92.79313,100.0,11.0
PHX,2000-03-07,55.0,43.0,0.26,4.4018106,17.748205,61.5557,81.484695,100.0,8.0
PHX,2000-03-08,64.0,43.0,0.0,2.988858,107.352356,38.1013,61.031254,85.7881,8.0
PHX,2000-03-09,67.0,49.0,0.0,2.924791,273.3057,35.4709,59.82906,86.1312,7.0
PHX,2000-03-10,71.0,46.0,0.0,3.091922,247.44533,24.4373,53.061905,86.1923,9.0
PHX,2000-03-11,78.0,49.0,0.0,3.247911,341.10028,15.1597,37.580276,74.0964,6.0
PHX,2000-03-12,80.0,51.0,0.0,3.1337047,134.02397,16.6823,36.468403,61.151,7.0
PHX,2000-03-13,81.0,60.0,0.0,4.4066854,126.837425,19.1479,34.673706,51.7718,7.0
PHX,2000-03-14,84.0,56.0,0.0,2.7158775,192.02885,18.7532,36.680298,59.7243,8.0
PHX,2000-03-15,84.0,57.0,0.0,4.8467965,239.01251,17.955,35.172344,59.5792,9.0
PHX,2000-03-16,81.0,59.0,0.0,4.504178,241.01622,17.4458,28.527607,51.3428,9.0
PHX,2000-03-17,82.0,57.0,0.0,6.172702,255.55702,17.9093,30.256405,48.7756,11.0
PHX,2000-03-18,83.0,55.0,0.0,4.880223,263.67056,15.6348,21.241236,36.5424,10.0
PHX,2000-03-19,82.0,57.0,0.0,4.16156,107.93709,15.5192,20.189236,27.1468,7.0
PHX,2000-03-20,69.0,53.0,0.0,9.641365,269.32513,13.4269,27.662146,36.0433,20.0
PHX,2000-03-21,60.0,47.0,0.0,4.417827,313.87045,25.407,39.728497,63.132,11.0
PHX,2000-03-22,68.0,48.0,0.0,4.877437,243.65039,22.8031,32.575356,47.6785,11.0
PHX,2000-03-23,73.0,53.0,0.0,3.4986072,96.55224,20.3304,30.90887,43.0386,8.0
PHX,2000-03-24,81.0,51.0,0.0,2.7158775,40.601868,19.57,33.767914,56.581,6.0
PHX,2000-03-25,82.0,56.0,0.0,4.044568,180.40628,19.1479,31.5472,50.7183,9.0
PHX,2000-03-26,83.0,56.0,0.0,4.685237,225.65787,17.081,29.279264,47.3885,10.0
PHX,2000-03-27,82.0,58.0,0.0001,5.724234,188.86298,17.4458,31.59031,54.0127,11.0
PHX,2000-03-28,72.0,59.0,0.03,3.5933146,74.34566,42.1727,68.27004,89.5667,6.0
PHX,2000-03-29,78.0,56.0,0.0,4.0779943,157.24402,25.3322,50.23881,86.5214,8.0
PHX,2000-03-30,79.0,60.0,0.0,5.5376043,329.59857,22.6042,40.207138,59.8448,20.0
PHX,2000-03-31,64.0,52.0,0.18,7.0598884,247.3681,24.5968,44.629185,68.5048,15.0
PHX,2000-04-01,69.0,49.0,0.0,4.128134,41.713634,24.125,48.541397,76.8018,12.0
PHX,2000-04-02,75.0,50.0,0.0,3.7604456,119.07043,18.2034,36.884026,63.4719,6.0
PHX,2000-04-03,84.0,55.0,0.0,4.54039,151.53406,15.8847,29.748343,50.7183,8.0
PHX,2000-04-04,93.0,62.0,0.0,4.167131,91.81619,12.464,26.801119,46.2154,8.0
PHX,2000-04-05,92.0,62.0,0.0,5.2952647,213.82372,13.2899,23.473066,42.8201,11.0
PHX,2000-04-06,89.0,63.0,0.0,4.9637885,237.2412,12.267,21.923948,38.1013,13.0
PHX,2000-04-07,92.0,59.0,0.0,4.6295266,167.99213,13.5212,20.929197,31.9974,9.0
PHX,2000-04-08,94.0,64.0,0.0,6.465181,98.85233,14.1434,21.940575,37.0028,15.0
PHX,2000-04-09,94.0,66.0,0.0,5.208914,233.16231,14.2043,20.519484,35.8667,11.0
PHX,2000-04-10,86.0,64.0,0.0,5.671309,255.81178,13.5977,18.867321,24.4373,14.0
PHX,2000-04-11,87.0,61.0,0.0,3.465181,220.95796,16.233616,23.540215,37.7812,9.0
PHX,2000-04-12,92.0,64.0,0.0,3.7019498,88.2233,9.96089,21.574306,36.8293,7.0
PHX,2000-04-13,93.0,63.0,0.0,5.167131,219.68008,9.2066,18.597897,35.2293,12.0
PHX,2000-04-14,84.0,66.0,0.0,11.1754875,253.04153,13.0576,21.743856,34.2375,21.0
PHX,2000-04-15,78.0,57.0,0.0,4.1559887,267.70587,19.2964,31.577328,51.0182,8.0
PHX,2000-04-16,89.0,60.0,0.0,6.005571,132.02101,12.2541,22.831812,37.7812,12.0
PHX,2000-04-17,92.0,62.0,0.0,7.799443,172.67818,11.6907,20.706305,39.4739,19.0
PHX,2000-04-18,75.0,63.0,0.0,9.1754875,256.10535,14.755,29.07613,56.0811,14.0
PHX,2000-04-19,80.0,58.0,0.0,4.075209,248.08914,18.6191,29.799326,42.0159,7.0
PHX,2000-04-20,90.0,58.0,0.0,3.7938719,158.61891,8.91739,22.310825,43.8471,9.0
PHX,2000-04-21,93.0,67.0,0.0,8.686629,174.63197,7.07576,18.833216,30.1424,22.0
